task,classifier,candidate,classifier_overrides,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,fold_count
2class,lda,lda_default,{},0.625,0.625,0.6262626262626263,0.625,0.6240601503759399,30
2class,logistic_regression,logreg_c0p03_bal,"{'C': 0.03, 'class_weight': 'balanced'}",0.6416666666666667,0.6416666666666666,0.6420217209690894,0.6416666666666666,0.6414425682718365,30
2class,svm,svm_linear_c0p3,"{'kernel': 'linear', 'C': 0.3, 'class_weight': None}",0.6166666666666667,0.6166666666666667,0.6182765418192058,0.6166666666666667,0.615357814786426,30
2class,random_forest,rf_200_sqrt,"{'n_estimators': 200, 'max_features': 'sqrt', 'class_weight': None}",0.6208333333333333,0.6208333333333333,0.6209089013967063,0.6208333333333333,0.6207740792832214,30
4class,lda,lda_default,{},0.3375,0.33749999999999997,0.3370707874950104,0.33749999999999997,0.33700776911815983,30
4class,logistic_regression,logreg_c0p1_bal,"{'C': 0.1, 'class_weight': 'balanced'}",0.3229166666666667,0.32291666666666663,0.32135700797619837,0.32291666666666663,0.3218549902215173,30
4class,svm,svm_linear_c0p3,"{'kernel': 'linear', 'C': 0.3, 'class_weight': None}",0.31875,0.31875000000000003,0.31499408011642815,0.31875000000000003,0.31631379271416626,30
4class,random_forest,rf_500_sqrt,"{'n_estimators': 500, 'max_features': 'sqrt', 'class_weight': None}",0.3458333333333333,0.3458333333333333,0.3457014320708498,0.3458333333333333,0.3457306111967129,30
6class,lda,lda_default,{},0.2638888888888889,0.2638888888888889,0.26833944678128274,0.2638888888888889,0.2651406198087019,30
6class,logistic_regression,logreg_c0p3_bal,"{'C': 0.3, 'class_weight': 'balanced'}",0.2625,0.2625,0.2655350545238517,0.2625,0.26364224636513317,30
6class,svm,svm_linear_c0p3,"{'kernel': 'linear', 'C': 0.3, 'class_weight': None}",0.25277777777777777,0.25277777777777777,0.2541047273697857,0.25277777777777777,0.25228852809516994,30
6class,random_forest,rf_200_sqrt,"{'n_estimators': 200, 'max_features': 'sqrt', 'class_weight': None}",0.24861111111111112,0.24861111111111112,0.2506487673491116,0.24861111111111112,0.24894029010774021,30
