task,classifier,validation_strategy,fold_count,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,accuracy_mean,accuracy_std,balanced_accuracy_mean,balanced_accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std
2class,lda,loso,6,0.5208333333333334,0.5208333333333334,0.521260009921338,0.5208333333333334,0.5184170578074018,0.5208333333333334,0.04658474953124561,0.5208333333333334,0.04658474953124561,0.5317135549872122,0.0886213759063475,0.5208333333333334,0.04658474953124561,0.4638803551607615,0.07030587701579571
2class,svm,loso,6,0.49583333333333335,0.49583333333333335,0.49567442866411937,0.49583333333333335,0.49116013386833945,0.49583333333333335,0.048769582961331784,0.49583333333333335,0.048769582961331784,0.539084249084249,0.1148723535875127,0.49583333333333335,0.048769582961331784,0.4376234871008882,0.04882366886448512
2class,logistic_regression,loso,6,0.5416666666666666,0.5416666666666666,0.5424208144796381,0.5416666666666666,0.5396205357142857,0.5416666666666666,0.05892556509887897,0.5416666666666666,0.05892556509887893,0.5567312237807781,0.08850931722458441,0.5416666666666666,0.05892556509887893,0.48666169381995833,0.08947781475719307
2class,knn,loso,6,0.5375,0.5375,0.5376280398578497,0.5375,0.5371062188319925,0.5375,0.0590726953281576,0.5375,0.0590726953281576,0.5461678428161131,0.06553786431952346,0.5375,0.0590726953281576,0.5195171513538518,0.06217899155976618
2class,random_forest,loso,6,0.5333333333333333,0.5333333333333333,0.5334821428571428,0.5333333333333333,0.5328142380422691,0.5333333333333333,0.031180478223116183,0.5333333333333333,0.031180478223116183,0.5763750771645509,0.08667902372964933,0.5333333333333333,0.031180478223116183,0.49617133659902174,0.06298085621692304
4class,lda,loso,6,0.2708333333333333,0.27083333333333337,0.2730126095037402,0.27083333333333337,0.2712856165519198,0.27083333333333337,0.02357022603955158,0.27083333333333337,0.0235702260395516,0.26679418182549913,0.07805471394307915,0.27083333333333337,0.0235702260395516,0.21750730736327595,0.05223070338793391
4class,svm,loso,6,0.27291666666666664,0.2729166666666667,0.2770042839657283,0.2729166666666667,0.26870240750572333,0.2729166666666667,0.03180070317182031,0.2729166666666667,0.031800703171820315,0.25917316278729324,0.04771798424291532,0.2729166666666667,0.031800703171820315,0.22913522107113757,0.04841773759751673
4class,logistic_regression,loso,6,0.2708333333333333,0.2708333333333333,0.2706839296683047,0.2708333333333333,0.27057773825023856,0.2708333333333333,0.031180478223116176,0.2708333333333333,0.031180478223116176,0.30481276793857026,0.14335765041202392,0.2708333333333333,0.031180478223116176,0.21523751863562723,0.05518627480646006
4class,knn,loso,6,0.2875,0.2875,0.2892662732574087,0.2875,0.2865534196492054,0.28750000000000003,0.0314576434802948,0.28750000000000003,0.0314576434802948,0.3088257863388475,0.05670862815505745,0.28750000000000003,0.0314576434802948,0.2673046024418674,0.02405831250821973
4class,random_forest,loso,6,0.2875,0.2875,0.287150017693121,0.2875,0.2869435823848845,0.28750000000000003,0.04389855730355307,0.28750000000000003,0.04389855730355309,0.288004654873173,0.07575797961540782,0.28750000000000003,0.04389855730355309,0.25459089335440005,0.06470117081137369
6class,lda,loso,6,0.20694444444444443,0.20694444444444446,0.20458551582595388,0.20694444444444446,0.20448700211965917,0.20694444444444446,0.024728463631617858,0.20694444444444446,0.024728463631617858,0.19043819092038158,0.05926501230301778,0.20694444444444446,0.024728463631617858,0.1698710176635562,0.03880552693453709
6class,svm,loso,6,0.19166666666666668,0.19166666666666665,0.19385851065447854,0.19166666666666665,0.19080106070209338,0.19166666666666665,0.019245008972987535,0.19166666666666665,0.019245008972987532,0.2040383382256604,0.04022275924163974,0.19166666666666665,0.019245008972987532,0.16366496051669321,0.022682450446616296
6class,logistic_regression,loso,6,0.19722222222222222,0.19722222222222222,0.19859296016177722,0.19722222222222222,0.19742300061664128,0.19722222222222222,0.02991758226185836,0.19722222222222222,0.02991758226185836,0.20367801294066712,0.08173805879744574,0.19722222222222222,0.02991758226185836,0.1628183437272225,0.040739558832644567
6class,knn,loso,6,0.1986111111111111,0.1986111111111111,0.19645454252519312,0.1986111111111111,0.19636347351488295,0.19861111111111115,0.016256527653777265,0.1986111111111111,0.01625652765377725,0.19283716423502706,0.019438457394423365,0.1986111111111111,0.01625652765377725,0.18106972558707643,0.015759520756352896
6class,random_forest,loso,6,0.2013888888888889,0.20138888888888887,0.20355900582824152,0.20138888888888887,0.20088096555206933,0.20138888888888892,0.027812478325695538,0.20138888888888887,0.027812478325695528,0.20312653347713674,0.04741053764510017,0.20138888888888887,0.027812478325695528,0.17758908458279155,0.037192979598026935
